codigoInterno	Nom Reducido	idItem	idTipoIVA	idCategoria	IDSubRubro	Codigo_de_Envase_asociado	Porc_de_Impuesto_Interno	precio_final	FechaUltimoPrecio	descrip reducida	Eliminacion_de_item	Tipo de Unidad	Unidad	Dias_de_Vencimiento	Tamanio de Letra	FechaUltimoPrecio	Codigo_Adicional	Permite_Modif_Descripcion	Precio adicional de venta con IVA	Codigo de Plantilla de Etiqueta	Codigo de IVA Diferencial	UltimoPrecio	Precio_de_Oferta_Etiquetas	IDProducto	Codigo_de_envase_asociado_ERP	Monto_de_Impuesto_Interno	idTipoIVA	Aplica_Percepcion_5329	Costo _el_articulo	idProveedor	IDRubro	idMarca	Fecha Inicio	Fecha Fin
1001	BIFE DE CHORIZO CABAÑA BELTRAN  X G	5	2	61	261	0	0	12910	14/12/2024	BIFE DE CHORIZO CABAÑA BELTRAN  X G	N	1	1	5	0	14/12/2024	*	N	0	-1	0	10,76	 	3011463074	 	-1	2	N	-1	1427	4	0	1/12/2024	31/12/2024
1002	FLAT IRON CABAÑA BELTRAN X G	5	2	61	261	0	0	11990	14/12/2024	FLAT IRON CABAÑA BELTRAN X G	N	1	1	5	0	14/12/2024	*	N	0	-1	0	9,991	 	3011463075	 	-1	2	N	-1	1427	4	0	1/12/2024	31/12/2024
1003	TOMAHAWK CABAÑA BELTRAN X G	5	1	61	261	0	0	11690	14/12/2024	TOMAHAWK CABAÑA BELTRAN X G	N	1	1	5	0	14/12/2024	*	N	0	-1	0	9,739	 	3011463076	 	-1	1	N	-1	1427	4	0	1/12/2024	31/12/2024
2012	DAMASCO CUBETA X UN	7	2	65	254	0	0	3204,5	3/12/2024	DAMASCO CUBETA X UN	N	1	1	5	0	3/12/2024	*	N	0	-1	0	2210	 	3011460139	 	-1	2	N	-1	1509	4	0	1/12/2024	31/12/2024
2045	BIFE DE VACIO CABAÑA BELTRAN X G	5	2	61	261	0	0	11990	30/11/2024	BIFE DE VACIO CABAÑA BELTRAN X G	N	1	1	5	0	30/11/2024	*	N	0	-1	0	9,993	 	3011458004	 	-1	2	N	-1	1427	4	0	1/12/2024	31/12/2024
2053	DAMASCO X G	5	2	65	254	0	0	3350	14/12/2024	DAMASCO X G	N	1	1	5	0	14/12/2024	*	N	0	-1	0	2,307	 	3011463083	 	-1	2	N	-1	1509	4	0	1/12/2024	31/12/2024
2102	BOLA DE LOMO FETEADA CABAÑA BELTRAN X G	5	2	61	261	0	0	11070	30/11/2024	BOLA DE LOMO FETEADA CABAÑA BELTRAN X G	N	1	1	5	0	30/11/2024	*	N	0	-1	0	9,223	 	3011458005	 	-1	2	N	-1	1427	4	0	1/12/2024	31/12/2024
2104	BRISKET CABAÑA BELTRAN X G	5	2	61	261	0	0	8760	30/11/2024	BRISKET CABAÑA BELTRAN X G	N	1	1	5	0	30/11/2024	*	N	0	-1	0	7,3	 	3011458006	 	-1	2	N	-1	1427	4	0	1/12/2024	31/12/2024
2112	COSTILLA BANDERITA CABAÑA BELTRAN X G	5	2	61	261	0	0	11990	30/11/2024	COSTILLA BANDERITA CABAÑA BELTRAN X G	N	1	1	5	0	30/11/2024	*	N	0	-1	0	9,993	 	3011458007	 	-1	2	N	-1	1427	4	0	1/12/2024	31/12/2024
7250	PAN DE LOMO PASTELINO X  UN	7	3	61	299	0	0	730,07	14/12/2024	PAN DE LOMO PASTELINO X  UN	N	1	1	5	0	14/12/2024	*	N	0	-1	0	405,592	 	3011461818	 	-1	3	N	-1	1545	4	0	1/12/2024	31/12/2024
8002	INFLUVAC jga.prell.x 1 x 0.5 ml	0	1	0	0	0	0	27716,5	16/12/2024	INFLUVAC jga.prell.x 1 x 0.5 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	20084,42	 	1000100042	 	-1	1	N	-1	0	1	624	1/12/2024	31/12/2024
8003	LUVOX 100 mg comp.ran.x 30	0	1	0	0	0	0	52550,64	16/12/2024	LUVOX 100 mg comp.ran.x 30	N	1	1	5	0	16/12/2024	*	N	0	-1	0	38080,174	 	1000100052	 	-1	1	N	-1	0	1	628	1/12/2024	31/12/2024
8004	COFRON ad.jbe.x 100 ml	0	1	0	0	0	0	13645,3	16/12/2024	COFRON ad.jbe.x 100 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	9887,899	 	1000100058	 	-1	1	N	-1	0	1	629	1/12/2024	31/12/2024
8005	COFRON ped.jbe.x 100 ml	0	1	0	0	0	0	13645,3	16/12/2024	COFRON ped.jbe.x 100 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	9887,899	 	1000100060	 	-1	1	N	-1	0	1	629	1/12/2024	31/12/2024
8006	IRUXOL ung.x 15 g	0	1	0	0	0	0	17087,84	16/12/2024	IRUXOL ung.x 15 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	12382,493	 	1000100703	 	-1	1	N	-1	0	1	637	1/12/2024	31/12/2024
8007	IRUXOL ung.x 50 g	0	1	0	0	0	0	55873,91	16/12/2024	IRUXOL ung.x 50 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	40488,341	 	1000100704	 	-1	1	N	-1	0	1	637	1/12/2024	31/12/2024
8008	IRUXOL ung.x 30 g	0	1	0	0	0	0	34468,62	16/12/2024	IRUXOL ung.x 30 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	24977,261	 	1000100706	 	-1	1	N	-1	0	1	637	1/12/2024	31/12/2024
8009	NORMORYTMIN 300 mg comp.rec.x 20	0	1	0	0	0	0	31515,89	16/12/2024	NORMORYTMIN 300 mg comp.rec.x 20	N	1	1	5	0	16/12/2024	*	N	0	-1	0	22837,601	 	1000100805	 	-1	1	N	-1	0	1	638	1/12/2024	31/12/2024
8010	NORMORYTMIN 150 mg comp.rec.x 50	0	1	0	0	0	0	37151,55	16/12/2024	NORMORYTMIN 150 mg comp.rec.x 50	N	1	1	5	0	16/12/2024	*	N	0	-1	0	26921,413	 	1000100806	 	-1	1	N	-1	0	1	638	1/12/2024	31/12/2024
8011	DEPAKENE caps.x 50	0	1	0	0	0	0	31729,16	16/12/2024	DEPAKENE caps.x 50	N	1	1	5	0	16/12/2024	*	N	0	-1	0	22992,145	 	1000101801	 	-1	1	N	-1	0	1	639	1/12/2024	31/12/2024
8012	DEPAKENE jbe.x 120 ml	0	1	0	0	0	0	17595,89	16/12/2024	DEPAKENE jbe.x 120 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	12750,645	 	1000101802	 	-1	1	N	-1	0	1	639	1/12/2024	31/12/2024
8013	VALCOTE 250 mg comp.x 50	0	1	0	0	0	0	38101,17	16/12/2024	VALCOTE 250 mg comp.x 50	N	1	1	5	0	16/12/2024	*	N	0	-1	0	27609,543	 	1000102602	 	-1	1	N	-1	0	1	622	1/12/2024	31/12/2024
8014	VALCOTE 500 mg comp.x 50	0	1	0	0	0	0	68156,36	16/12/2024	VALCOTE 500 mg comp.x 50	N	1	1	5	0	16/12/2024	*	N	0	-1	0	49388,667	 	1000102603	 	-1	1	N	-1	0	1	622	1/12/2024	31/12/2024
8015	KLARICID 500 mg comp.x 8	0	1	0	0	0	0	22317,03	16/12/2024	KLARICID 500 mg comp.x 8	N	1	1	5	0	16/12/2024	*	N	0	-1	0	16171,761	 	1000102809	 	-1	1	N	-1	0	1	640	1/12/2024	31/12/2024
8016	TIADYL 8 mg comp.x 30	0	1	0	0	0	0	57717,63	16/12/2024	TIADYL 8 mg comp.x 30	N	1	1	5	0	16/12/2024	*	N	0	-1	0	41824,37	 	1000104702	 	-1	1	N	-1	0	1	643	1/12/2024	31/12/2024
8017	TIADYL 16 mg comp.x 30	0	1	0	0	0	0	100332,29	16/12/2024	TIADYL 16 mg comp.x 30	N	1	1	5	0	16/12/2024	*	N	0	-1	0	72704,558	 	1000104704	 	-1	1	N	-1	0	1	643	1/12/2024	31/12/2024
8018	NORMORYTMIN 150 mg comp.rec.x 20	0	1	0	0	0	0	17108,96	16/12/2024	NORMORYTMIN 150 mg comp.rec.x 20	N	1	1	5	0	16/12/2024	*	N	0	-1	0	12397,797	 	1000108101	 	-1	1	N	-1	0	1	638	1/12/2024	31/12/2024
8019	VALCOTE ER 500 mg comp.lib.cont.x50	0	1	0	0	0	0	67742,49	16/12/2024	VALCOTE ER 500 mg comp.lib.cont.x50	N	1	1	5	0	16/12/2024	*	N	0	-1	0	49088,761	 	1000109801	 	-1	1	N	-1	0	1	622	1/12/2024	31/12/2024
8020	TIADYL PLUS 16 mg comp.x 30	0	1	0	0	0	0	89020,07	16/12/2024	TIADYL PLUS 16 mg comp.x 30	N	1	1	5	0	16/12/2024	*	N	0	-1	0	64507,297	 	1000110002	 	-1	1	N	-1	0	1	643	1/12/2024	31/12/2024
8021	CEFADUO 1 g comp.rec.x 10	0	1	0	0	0	0	7700	16/12/2024	CEFADUO 1 g comp.rec.x 10	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5579,71	 	1000700054	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8022	SALBUTRAL sol.p/nebul.x 20 ml	0	1	0	0	0	0	4200	16/12/2024	SALBUTRAL sol.p/nebul.x 20 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	3043,478	 	1000701601	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8023	CEFADROX 500 mg comp.rec.x 10	0	1	0	0	0	0	7000	16/12/2024	CEFADROX 500 mg comp.rec.x 10	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5072,464	 	1000705701	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8024	IBUSOL PEDIATRICO susp.x 100 ml	0	1	0	0	0	0	4900	16/12/2024	IBUSOL PEDIATRICO susp.x 100 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	3550,725	 	1000705901	 	-1	1	N	-1	0	1	682	1/12/2024	31/12/2024
8025	INQUETIA 25 mg comp.x 30	0	1	0	0	0	0	40015,67	14/12/2024	INQUETIA 25 mg comp.x 30	N	1	1	5	0	14/12/2024	*	N	0	-1	0	28996,862	 	1001300067	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8026	INQUETIA 100 mg comp.x 30	0	1	0	0	0	0	67473,44	14/12/2024	INQUETIA 100 mg comp.x 30	N	1	1	5	0	14/12/2024	*	N	0	-1	0	48893,797	 	1001300068	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8027	INQUETIA 200 mg comp.x 30	0	1	0	0	0	0	82759,6	14/12/2024	INQUETIA 200 mg comp.x 30	N	1	1	5	0	14/12/2024	*	N	0	-1	0	59970,725	 	1001300069	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8028	DIOXADOL comp.x 10	0	1	0	0	0	0	6306,41	14/12/2024	DIOXADOL comp.x 10	N	1	1	5	0	14/12/2024	*	N	0	-1	0	4569,862	 	1002100032	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
