codigoInterno,Nom Reducido,idItem,idTipoIVA,idTipoIVA,idCategoria,IDSubRubro,Codigo_de_Envase_asociado,Porc_de_Impuesto_Interno,precio_final,FechaUltimoPrecio,FechaUltimoPrecio,descrip reducida,Eliminacion_de_item,Tipo de Unidad,Unidad,Dias_de_Vencimiento,Tamanio de Letra,FechaUltimoPrecio,FechaUltimoPrecio,Codigo_Adicional,Permite_Modif_Descripcion,Precio adicional de venta con IVA,Codigo de Plantilla de Etiqueta,Codigo de IVA Diferencial,UltimoPrecio,Precio_de_Oferta_Etiquetas,IDProducto,Codigo_de_envase_asociado_ERP,Monto_de_Impuesto_Interno,idTipoIVA,idTipoIVA,Aplica_Percepcion_5329,Costo _el_articulo,idProveedor,IDRubro,idMarca,Fecha Inicio,Fecha Fin
1001,BIFE DE CHORIZO CABAÑA BELTRAN  X G,5,2,2,61,261,0,0,12910,14/12/2024,14/12/2024,BIFE DE CHORIZO CABAÃA BELTRAN  X G,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"10,76", ,3011463074, ,-1,2,2,N,-1,1427,4,0,1/12/2024,31/12/2024
1002,FLAT IRON CABAÑA BELTRAN X G,5,2,2,61,261,0,0,11990,14/12/2024,14/12/2024,FLAT IRON CABAÃA BELTRAN X G,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"9,991", ,3011463075, ,-1,2,2,N,-1,1427,4,0,1/12/2024,31/12/2024
1003,TOMAHAWK CABAÑA BELTRAN X G,5,1,1,61,261,0,0,11690,14/12/2024,14/12/2024,TOMAHAWK CABAÃA BELTRAN X G,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"9,739", ,3011463076, ,-1,1,1,N,-1,1427,4,0,1/12/2024,31/12/2024
2012,DAMASCO CUBETA X UN,7,2,2,65,254,0,0,"3204,5",3/12/2024,3/12/2024,DAMASCO CUBETA X UN,N,1,1,5,0,3/12/2024,3/12/2024,*,N,0,-1,0,2210, ,3011460139, ,-1,2,2,N,-1,1509,4,0,1/12/2024,31/12/2024
2045,BIFE DE VACIO CABAÑA BELTRAN X G,5,2,2,61,261,0,0,11990,30/11/2024,30/11/2024,BIFE DE VACIO CABAÃA BELTRAN X G,N,1,1,5,0,30/11/2024,30/11/2024,*,N,0,-1,0,"9,993", ,3011458004, ,-1,2,2,N,-1,1427,4,0,1/12/2024,31/12/2024
2053,DAMASCO X G,5,2,2,65,254,0,0,3350,14/12/2024,14/12/2024,DAMASCO X G,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"2,307", ,3011463083, ,-1,2,2,N,-1,1509,4,0,1/12/2024,31/12/2024
2102,BOLA DE LOMO FETEADA CABAÑA BELTRAN X G,5,2,2,61,261,0,0,11070,30/11/2024,30/11/2024,BOLA DE LOMO FETEADA CABAÃA BELTRAN X G,N,1,1,5,0,30/11/2024,30/11/2024,*,N,0,-1,0,"9,223", ,3011458005, ,-1,2,2,N,-1,1427,4,0,1/12/2024,31/12/2024
2104,BRISKET CABAÑA BELTRAN X G,5,2,2,61,261,0,0,8760,30/11/2024,30/11/2024,BRISKET CABAÃA BELTRAN X G,N,1,1,5,0,30/11/2024,30/11/2024,*,N,0,-1,0,"7,3", ,3011458006, ,-1,2,2,N,-1,1427,4,0,1/12/2024,31/12/2024
2112,COSTILLA BANDERITA CABAÑA BELTRAN X G,5,2,2,61,261,0,0,11990,30/11/2024,30/11/2024,COSTILLA BANDERITA CABAÃA BELTRAN X G,N,1,1,5,0,30/11/2024,30/11/2024,*,N,0,-1,0,"9,993", ,3011458007, ,-1,2,2,N,-1,1427,4,0,1/12/2024,31/12/2024
7250,PAN DE LOMO PASTELINO X  UN,7,3,3,61,299,0,0,"730,07",14/12/2024,14/12/2024,PAN DE LOMO PASTELINO X  UN,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"405,592", ,3011461818, ,-1,3,3,N,-1,1545,4,0,1/12/2024,31/12/2024
8007,INFLUVAC jga.prell.x 1 x 0.5 ml,0,1,1,0,0,0,0,"27716,5",16/12/2024,16/12/2024,INFLUVAC jga.prell.x 1 x 0.5 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"20084,42", ,1000100042, ,-1,1,1,N,-1,0,1,624,1/12/2024,31/12/2024
8011,LUVOX 100 mg comp.ran.x 30,0,1,1,0,0,0,0,"52550,64",16/12/2024,16/12/2024,LUVOX 100 mg comp.ran.x 30,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"38080,174", ,1000100052, ,-1,1,1,N,-1,0,1,628,1/12/2024,31/12/2024
8012,COFRON ad.jbe.x 100 ml,0,1,1,0,0,0,0,"13645,3",16/12/2024,16/12/2024,COFRON ad.jbe.x 100 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"9887,899", ,1000100058, ,-1,1,1,N,-1,0,1,629,1/12/2024,31/12/2024
8013,COFRON ped.jbe.x 100 ml,0,1,1,0,0,0,0,"13645,3",16/12/2024,16/12/2024,COFRON ped.jbe.x 100 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"9887,899", ,1000100060, ,-1,1,1,N,-1,0,1,629,1/12/2024,31/12/2024
8026,IRUXOL ung.x 15 g,0,1,1,0,0,0,0,"17087,84",16/12/2024,16/12/2024,IRUXOL ung.x 15 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"12382,493", ,1000100703, ,-1,1,1,N,-1,0,1,637,1/12/2024,31/12/2024
8027,IRUXOL ung.x 50 g,0,1,1,0,0,0,0,"55873,91",16/12/2024,16/12/2024,IRUXOL ung.x 50 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"40488,341", ,1000100704, ,-1,1,1,N,-1,0,1,637,1/12/2024,31/12/2024
8028,IRUXOL ung.x 30 g,0,1,1,0,0,0,0,"34468,62",16/12/2024,16/12/2024,IRUXOL ung.x 30 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"24977,261", ,1000100706, ,-1,1,1,N,-1,0,1,637,1/12/2024,31/12/2024
8029,NORMORYTMIN 300 mg comp.rec.x 20,0,1,1,0,0,0,0,"31515,89",16/12/2024,16/12/2024,NORMORYTMIN 300 mg comp.rec.x 20,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"22837,601", ,1000100805, ,-1,1,1,N,-1,0,1,638,1/12/2024,31/12/2024
