codigo_producto;cod_interno;codigo_barras
1000100014;8002;8,05408E+12
1000100027;8003;5,01316E+12
1000100027;8003;8,05408E+12
1000100034;8004;8,05408E+12
1000100036;8005;7,79044E+12
1000100041;8006;7,79044E+12
1000100042;8007;8,71555E+12
1000100043;8008;8,05408E+12
1000100044;8009;7,79044E+12
1000100048;8010;70074112459
1000100052;8011;8,00266E+12
1000100058;8012;7,79044E+12
1000100060;8013;7,79044E+12
1000100064;8014;8,05408E+12
1000100065;8015;70074117195
1000100066;8016;7,50103E+12
1000100067;8017;7,50103E+12
1000100203;8018;7,79801E+12
1000100302;8019;7,79038E+12
1000100304;8020;7,79038E+12
1000100305;8021;7,79038E+12
1000100402;8022;7,79044E+12
1000100405;8023;7,79038E+12
1000100405;8023;7,79044E+12
1000100505;8024;7,79044E+12
1000100513;8025;7,79044E+12
1000100703;8026;7,79044E+12
1000100704;8027;7,79044E+12
1000100706;8028;7,79044E+12
1000100805;8029;7,79044E+12
1000100806;8030;7,79044E+12
1000100807;8031;7,79044E+12
1000101801;8032;7,79044E+12
1000101802;8033;7,79044E+12
1000102601;8034;7,79044E+12
1000102602;8035;7,79044E+12
1000102603;8036;7,79044E+12
1000102808;8037;7,79044E+12
1000102809;8038;7,79044E+12
1000103301;8039;8,05408E+12
1000103303;8040;8,05408E+12
1000103802;8041;8,05408E+12
1000104101;8042;70074112664
1000104301;8043;7,79044E+12
1000104502;8044;7,79044E+12
1000104503;8045;7,79044E+12
1000104601;8046;7,79044E+12
1000104602;8047;7,79044E+12
1000104702;8048;7,79044E+12
1000104704;8049;7,79044E+12
1000105601;8050;70074116051
1000106901;8051;70074112435
1000107702;8052;7,79044E+12
1000107702;8052;8,05408E+12
1000108101;8053;7,79044E+12
1000108601;8054;7,79038E+12
1000108601;8054;7,79044E+12
1000109501;8055;7,79044E+12
1000109801;8056;7,79044E+12
1000110002;8057;7,79044E+12
1000200102;8058;7,79811E+12
1000200103;8059;7,79811E+12
1000200104;8060;7,79811E+12
1000200105;8061;7,79811E+12
1000200106;8062;7,79811E+12
1000200107;8063;7,79811E+12
1000200108;8064;7,79811E+12
1000200109;8065;7,79811E+12
1000200110;8066;7,79811E+12
1000200111;8067;7,79811E+12
1000200112;8068;7,79811E+12
1000201601;8069;7,79811E+12
1000201701;8070;7,79811E+12
1000201702;8071;7,79811E+12
1000201801;8072;7,79811E+12
1000201802;8073;7,79811E+12
1000201901;8074;7,79811E+12
1000201902;8075;7,79811E+12
1000202601;8076;7,79811E+12
1000202602;8077;7,79811E+12
1000300018;8078;7,79183E+12
1000300019;8079;7,79183E+12
1000300021;8080;7,79183E+12
1000300502;8081;7,79183E+12
1000301604;8082;7,79357E+12
1000301604;8082;7,79421E+12
1000301608;8083;7,79357E+12
1000301608;8083;7,79421E+12
1000304601;8084;7,79183E+12
1000500002;8085;7,79209E+12
1000500003;8086;7,6128E+12
1000500003;8086;7,79531E+12
1000500004;8087;7,6128E+12
1000500004;8087;7,79531E+12
1000500005;8088;7,79209E+12
1000500005;8088;7,79531E+12
1000500006;8089;7,79531E+12
1000500007;8090;7,79531E+12
1000500007;8090;7,89655E+12
1000500008;8091;7,79209E+12
1000500008;8091;7,79531E+12
1000500009;8092;7,79531E+12
1000500010;8093;7,79209E+12
1000500010;8093;7,79531E+12
1000500012;8094;7,79209E+12
1000500012;8094;7,79531E+12
1000500016;8095;7,79209E+12
1000500016;8095;7,79531E+12
1000500017;8096;7,79209E+12
1000500018;8097;7,79209E+12
1000500202;8098;7,79209E+12
1000500202;8098;7,79531E+12
1000500301;8099;7,79209E+12
1000500301;8099;7,79531E+12
1000500302;8100;7,79531E+12
1000500401;8101;7,79209E+12
1000500401;8101;7,79209E+12
1000500401;8101;7,79531E+12
1000501001;8102;7,79209E+12
1000501001;8102;7,89655E+12
1000501501;8103;7,79209E+12
1000501501;8103;7,79531E+12
1000501502;8104;5,4139E+12
1000501502;8104;7,79531E+12
1000501801;8105;7,79209E+12
1000501801;8105;7,79209E+12
1000502102;8106;7,79531E+12
1000502202;8107;7,79209E+12
1000502202;8107;7,79531E+12
1000503001;8108;7,79209E+12
1000503001;8108;7,79531E+12
1000503002;8109;7,79209E+12
1000503002;8109;7,79531E+12
1000503801;8110;7,79209E+12
1000503801;8110;7,79531E+12
1000503901;8111;3,00651E+11
1000503901;8111;3,00651E+11
1000503901;8111;5,4139E+12
1000505001;8112;7,79209E+12
1000505001;8112;7,79531E+12
1000505301;8113;7,79209E+12
1000505301;8113;7,79531E+12
1000506001;8114;7,79209E+12
1000506001;8114;7,79531E+12
1000602701;8115;7,79534E+12
1000604001;8116;7,79534E+12
1000700000;8117;7,79816E+12
1000700005;8118;7,79816E+12
1000700006;8119;7,79816E+12
1000700007;8120;7,79801E+12
1000700018;8121;7,79801E+12
1000700019;8122;7,79816E+12
1000700020;8123;7,79816E+12
1000700021;8124;7,79801E+12
1000700021;8124;7,79816E+12
1000700022;8125;7,79801E+12
1000700022;8125;7,79816E+12
1000700024;8126;7,79816E+12
1000700025;8127;7,79816E+12
1000700026;8128;7,79801E+12
1000700028;8129;7,79801E+12
1000700029;8130;7,79816E+12
1000700030;8131;7,79816E+12
1000700031;8132;7,79801E+12
1000700032;8133;7,79801E+12
1000700033;8134;7,79801E+12
1000700034;8135;7,79816E+12
1000700035;8136;7,79816E+12
1000700036;8137;7,79801E+12
1000700037;8138;7,79801E+12
1000700040;8139;7,79801E+12
1000700041;8140;7,79811E+12
1000700042;8141;7,79811E+12
1000700044;8142;7,79811E+12
1000700045;8143;7,79811E+12
1000700046;8144;7,79811E+12
1000700047;8145;7,79811E+12
1000700048;8146;7,79811E+12
1000700049;8147;7,79811E+12
1000700050;8148;7,79811E+12
1000700051;8149;7,79811E+12
1000700052;8150;7,79811E+12
1000700054;8151;7,79801E+12
1000700055;8152;7,79801E+12
1000700056;8153;7,79801E+12
1000700057;8154;7,79801E+12
1000701001;8155;7,79816E+12
1000701002;8156;7,79816E+12
1000701301;8157;7,79801E+12
1000701401;8158;7,79801E+12
1000701601;8159;7,79537E+12
1000701801;8160;7,79816E+12
1000704301;8161;7,79801E+12
1000704301;8161;7,79801E+12
1000705601;8162;7,79536E+12
1000705602;8163;7,79536E+12
1000705701;8164;7,79537E+12
1000705901;8165;7,79537E+12
1000900000;8166;7,79374E+12
1000900003;8167;7,79802E+12
1000900005;8168;7,79374E+12
1000900006;8169;7,79374E+12
1000900007;8170;7,79374E+12
1000900008;8171;7,79374E+12
1000900009;8172;7,79374E+12
1000900012;8173;7,79374E+12
1000900013;8174;7,79374E+12
1000900014;8175;7,79374E+12
1000900015;8176;7,79374E+12
