codigoInterno,Nom Reducido,idItem,idTipoIVA,idCategoria,IDSubRubro,Codigo_de_Envase_asociado,Porc_de_Impuesto_Interno,precio_final,FechaUltimoPrecio,descrip reducida,Eliminacion_de_item,Tipo de Unidad,Unidad,Dias_de_Vencimiento,Tamanio de Letra,productos.FechaUltimoPrecio,Codigo_Adicional,Permite_Modif_Descripcion,Precio adicional de venta con IVA,Codigo de Plantilla de Etiqueta,Codigo de IVA Diferencial,UltimoPrecio,Precio_de_Oferta_Etiquetas,IDProducto,Codigo_de_envase_asociado_ERP,Monto_de_Impuesto_Interno,productos.idTipoIVA,Aplica_Percepcion_5329,Costo _el_articulo,idProveedor,IDRubro,idMarca,Fecha Inicio,Fecha Fin
3053,QUESO TYBO TREMBLAY X G,5.0,3,61,262,0,0,13600.0,2025-01-13,QUESO TYBO TREMBLAY X G,N,1,1,5,0,2025-01-13,*,N,0,-1,0,8.503, ,3011463618, ,-1,3,N,-1,1437,4,0,01/12/2024,31/12/2024
3054,QUESO CHEDDAR TREMBLAY X G,5.0,3,61,262,0,0,13380.0,2025-01-13,QUESO CHEDDAR TREMBLAY X G,N,1,1,5,0,2025-01-13,*,N,0,-1,0,8.362, ,3011463619, ,-1,3,N,-1,1437,4,0,01/12/2024,31/12/2024
8002,MERTHIOLATE FILM aer.x 30 g,,3,0,0,0,0,14080.12,2025-01-14,MERTHIOLATE FILM aer.x 30 g,N,1,1,5,0,2025-01-14,*,N,0,-1,0,10202.986, ,1019000018, ,-1,3,N,-1,0,1,554,01/12/2024,31/12/2024
8003,102 PLUS comp.x 60,,3,0,0,0,0,25443.19,2025-01-14,102 PLUS comp.x 60,N,1,1,5,0,2025-01-14,*,N,0,-1,0,18437.094, ,1037200011, ,-1,3,N,-1,0,1,1059,01/12/2024,31/12/2024
8006,102 PLUS comp.x 30,,3,0,0,0,0,14794.21,2025-01-14,102 PLUS comp.x 30,N,1,1,5,0,2025-01-14,*,N,0,-1,0,10720.442, ,1037205501, ,-1,3,N,-1,0,1,1059,01/12/2024,31/12/2024
8007,ATOMO ARNICA GEL gel x 30 g,,3,0,0,0,0,7953.03,2025-01-14,ATOMO ARNICA GEL gel x 30 g,N,1,1,5,0,2025-01-14,*,N,0,-1,0,5763.065, ,1041400013, ,-1,3,N,-1,0,1,0,01/12/2024,31/12/2024
8008,ATOMO ARNICA POTE pote x 80 g,,3,0,0,0,0,9919.9,2025-01-14,ATOMO ARNICA POTE pote x 80 g,N,1,1,5,0,2025-01-14,*,N,0,-1,0,7188.333, ,1041400014, ,-1,3,N,-1,0,1,0,01/12/2024,31/12/2024
8009,ATOMO ARNICA ROLL-ON Roll-on x 90 g,,3,0,0,0,0,11581.23,2025-01-14,ATOMO ARNICA ROLL-ON Roll-on x 90 g,N,1,1,5,0,2025-01-14,*,N,0,-1,0,8392.196, ,1041400015, ,-1,3,N,-1,0,1,0,01/12/2024,31/12/2024
8010,DERMAGLOS C PIEL DEL DIABETICO emulsión x 300 ml,,3,0,0,0,0,21471.3,2025-01-13,DERMAGLOS C PIEL DEL DIABETICO emulsión x 300 ml,N,1,1,5,0,2025-01-13,*,N,0,-1,0,15558.913, ,2000900079, ,-1,3,N,-1,0,3,129,01/12/2024,31/12/2024
8011,COLTIX MULTIPROPOSITO env.x 150 ml,,3,0,0,0,0,10000.07,2025-01-14,COLTIX MULTIPROPOSITO env.x 150 ml,N,1,1,5,0,2025-01-14,*,N,0,-1,0,7246.428, ,2011000010, ,-1,3,N,-1,0,1,0,01/12/2024,31/12/2024
8012,MEGACISTIN COLµGENO pvo. x 350 g,,3,0,0,0,0,44669.2,2025-01-14,MEGACISTIN COLµGENO pvo. x 350 g,N,1,1,5,0,2025-01-14,*,N,0,-1,0,32368.986, ,2011000011, ,-1,3,N,-1,0,1,0,01/12/2024,31/12/2024
8013,CURFLEX comp.x 30,,3,0,0,0,0,19617.19,2025-01-14,CURFLEX comp.x 30,N,1,1,5,0,2025-01-14,*,N,0,-1,0,14215.355, ,2036600021, ,-1,3,N,-1,0,1,0,01/12/2024,31/12/2024
8014,VARISEDAN GEL gel frío p/piernas x400g,,3,0,0,0,0,13888.0,2025-01-14,VARISEDAN GEL gel frío p/piernas x400g,N,1,1,5,0,2025-01-14,*,N,0,-1,0,10063.768, ,2041400104, ,-1,3,N,-1,0,1,0,01/12/2024,31/12/2024
8063,MERTHIOLATE BEBE cr.x 40 g,,3,0,0,0,0,9079.28,2025-01-14,MERTHIOLATE BEBE cr.x 40 g,N,1,1,5,0,2025-01-14,*,N,0,-1,0,6579.188, ,2076300000, ,-1,3,N,-1,0,1,554,01/12/2024,31/12/2024
